input_img,input_category,target_prompt,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/042/inp.jpg,bird,a photo of a bird next to a blue ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/042/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/042/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/043/inp.jpg,dog,a photo of a dog wearing a red hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/043/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/043/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/044/inp.jpg,cat,a photo of a cat next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/044/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/044/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/045/inp.jpg,cat,a photo of a cat screaming,https://raw.githubusercontent.com/omriav/public/master/amt_data/045/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/045/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/046/inp.jpg,person,a photo of a person raising his arm high,https://raw.githubusercontent.com/omriav/public/master/amt_data/046/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/046/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/047/inp.jpg,horse,a photo of a horse wearing a green sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/047/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/047/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/048/inp.jpg,horse,a photo of a horse next to an apple,https://raw.githubusercontent.com/omriav/public/master/amt_data/048/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/048/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/049/inp.jpg,horse,a photo of a horse next to an avocado,https://raw.githubusercontent.com/omriav/public/master/amt_data/049/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/049/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/050/inp.jpg,person,a photo of a person wearing a purple hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/050/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/050/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/051/inp.jpg,giraffe,a photo of a giraffe wearing a red hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/052/inp.jpg,cat,a photo of a cat screaming,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/053/inp.jpg,person,a photo of a person wearing a green hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/054/inp.jpg,dog,a photo of a dog next to a pink ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/055/inp.jpg,person,a photo of a person next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/056/inp.jpg,person,a photo of a person in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/057/inp.jpg,bear,a photo of a bear with a long hair,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/058/inp.jpg,sheep,a photo of a sheep next to an apple,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/059/inp.jpg,sheep,a photo of a sheep next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/sdedit.jpg
